SalePeriod,SaleDate,SalesPeriodType,Industry,DataType,ProductCategoryName,Quantity,Units,TOTAL_$
2001-01-01 - 2026-04-12,2021-07-20,Historical,Adult-Use,Delivery Couriers,Concentrate (Each),12.0,11,790.0
2001-01-01 - 2026-04-12,2021-07-20,Historical,Adult-Use,Delivery Couriers,Infused (edible),44.0,37,1130.15
2001-01-01 - 2026-04-12,2021-07-20,Historical,Adult-Use,Delivery Couriers,Infused (non-edible),2.0,2,40.0
2001-01-01 - 2026-04-12,2021-07-20,Historical,Adult-Use,Delivery Couriers,Infused Beverage,12.0,7,84.0
2001-01-01 - 2026-04-12,2021-07-20,Historical,Adult-Use,Delivery Couriers,Infused Pre-Rolls,2.25,3,60.0
2001-01-01 - 2026-04-12,2021-07-20,Historical,Adult-Use,Delivery Couriers,Kief,5.3,1,30.0
2001-01-01 - 2026-04-12,2021-07-20,Historical,Adult-Use,Delivery Couriers,Raw Pre-Rolls,43.0,12,618.0
2001-01-01 - 2026-04-12,2021-07-20,Historical,Adult-Use,Delivery Couriers,Vape Product,49.0,42,2990.0
2001-01-01 - 2026-04-12,2021-07-20,Historical,Adult-Use,Delivery Operators,Buds,13.5,3,200.01
2001-01-01 - 2026-04-12,2021-07-20,Historical,Adult-Use,Delivery Operators,Infused (edible),13.0,13,337.52
2001-01-01 - 2026-04-12,2021-07-20,Historical,Adult-Use,Delivery Operators,Raw Pre-Rolls,25.5,8,429.22
2001-01-01 - 2026-04-12,2021-07-21,Historical,Adult-Use,Delivery Couriers,Buds,162.6,49,2348.2
2001-01-01 - 2026-04-12,2021-07-21,Historical,Adult-Use,Delivery Couriers,Concentrate (Each),4.0,3,185.0
2001-01-01 - 2026-04-12,2021-07-21,Historical,Adult-Use,Delivery Couriers,Infused (edible),65.0,35,1309.67
2001-01-01 - 2026-04-12,2021-07-21,Historical,Adult-Use,Delivery Couriers,Infused (non-edible),5.0,3,100.0
2001-01-01 - 2026-04-12,2021-07-21,Historical,Adult-Use,Delivery Couriers,Infused Beverage,5.0,5,46.0
2001-01-01 - 2026-04-12,2021-07-21,Historical,Adult-Use,Delivery Couriers,Infused Pre-Rolls,6.0,5,148.0
2001-01-01 - 2026-04-12,2021-07-21,Historical,Adult-Use,Delivery Couriers,Raw Pre-Rolls,67.0,28,937.48
2001-01-01 - 2026-04-12,2021-07-21,Historical,Adult-Use,Delivery Couriers,Vape Product,24.0,23,1355.0
2001-01-01 - 2026-04-12,2021-07-21,Historical,Adult-Use,Delivery Operators,Buds,8.0,3,116.67
2001-01-01 - 2026-04-12,2021-07-21,Historical,Adult-Use,Delivery Operators,Infused (edible),9.0,8,233.35
2001-01-01 - 2026-04-12,2021-07-21,Historical,Adult-Use,Delivery Operators,Raw Pre-Rolls,10.0,4,179.2
2001-01-01 - 2026-04-12,2021-07-22,Historical,Adult-Use,Delivery Couriers,Buds,209.9,68,3164.12
2001-01-01 - 2026-04-12,2021-07-22,Historical,Adult-Use,Delivery Couriers,Concentrate (Each),11.0,11,685.0
2001-01-01 - 2026-04-12,2021-07-22,Historical,Adult-Use,Delivery Couriers,Infused (edible),37.0,36,1048.66
2001-01-01 - 2026-04-12,2021-07-22,Historical,Adult-Use,Delivery Couriers,Infused (non-edible),2.0,2,40.0
2001-01-01 - 2026-04-12,2021-07-22,Historical,Adult-Use,Delivery Couriers,Infused Beverage,14.0,7,118.0
2001-01-01 - 2026-04-12,2021-07-22,Historical,Adult-Use,Delivery Couriers,Infused Pre-Rolls,6.75,6,144.0
2001-01-01 - 2026-04-12,2021-07-22,Historical,Adult-Use,Delivery Couriers,Raw Pre-Rolls,83.25,35,1074.64
2001-01-01 - 2026-04-12,2021-07-22,Historical,Adult-Use,Delivery Couriers,Vape Product,40.0,35,2400.0
2001-01-01 - 2026-04-12,2021-07-22,Historical,Adult-Use,Delivery Operators,Concentrate (Each),1.0,1,62.5
2001-01-01 - 2026-04-12,2021-07-22,Historical,Adult-Use,Delivery Operators,Infused (edible),9.0,8,229.17
2001-01-01 - 2026-04-12,2021-07-22,Historical,Adult-Use,Delivery Operators,Raw Pre-Rolls,28.0,6,466.72
